x11,x12,x21,x22
0.091446,-0.161370,1.069874,0.045216
0.068331,0.218876,1.049785,0.027174
0.100878,0.023472,1.092874,-0.102797
0.031443,0.149014,1.019681,0.301936
0.049472,-0.250507,0.968791,0.143005
-0.061146,0.149905,0.929504,0.013480
0.143251,0.052102,1.143079,0.070615
0.070421,-0.184214,1.054327,-0.005528
-0.013575,0.060007,0.974985,-0.090820
0.033971,0.296021,0.983632,-0.017257
0.059620,0.082333,1.059534,0.095446
0.019071,-0.324509,0.996453,-0.113026
-0.006186,-0.025314,0.986907,0.092017
-0.068238,-0.019401,0.931733,-0.011827
0.107120,-0.024822,1.099391,0.099272
-0.084198,-0.161000,0.905986,-0.021236
0.204313,0.296978,1.136279,-0.065567
-0.268513,-0.362391,0.701914,-0.120998
-0.025366,-0.209511,0.955788,-0.016284
0.076314,0.542177,1.013941,0.194536
-0.165701,-0.305855,0.777678,0.025864
-0.007631,-0.352578,0.917061,0.028137
-0.027906,-0.005283,0.942013,-0.248711
-0.177077,0.114076,0.819266,0.028641
-0.045184,-0.022441,0.954606,-0.042958
-0.120840,0.167588,0.878746,0.138806
0.187829,0.120774,1.186941,0.162910
-0.053634,-0.135258,0.896524,0.176510
0.163321,-0.387627,1.090952,-0.014131
-0.078792,-0.105775,0.873775,0.198552
-0.082122,0.042755,0.913019,0.141214
0.228568,0.111152,1.211630,-0.072119
-0.078948,0.129345,0.913265,0.004787
-0.075668,-0.064176,0.919196,-0.165396
0.037990,0.258372,0.968662,-0.107484
-0.037815,0.165076,0.930551,-0.084456
-0.063686,0.056379,0.925634,-0.089377
-0.028366,0.248606,0.925692,-0.051017
0.003991,-0.062901,0.994924,0.071454
0.018837,0.049838,0.997573,0.254959
0.049598,0.176461,1.039417,0.034134
-0.243610,-0.231825,0.746934,-0.094627
-0.040947,-0.094211,0.958284,-0.055006
0.000765,-0.266700,0.998720,-0.202782
0.124093,0.091087,1.102219,-0.116926
0.277923,0.034994,1.276996,0.078056
-0.043174,-0.176246,0.949483,-0.055280
-0.009104,-0.424485,0.907567,-0.024842
0.079587,-0.290041,1.034144,0.007987
0.056772,0.118261,1.041284,-0.057056
-0.001379,-0.424916,0.910752,-0.015017
0.008487,0.146683,1.008465,0.153372
0.027499,0.046779,1.025663,-0.013800
0.152291,0.143611,1.151801,0.174907
-0.063509,-0.232892,0.906876,0.008673
-0.008949,-0.033134,0.978382,-0.191806
-0.016483,0.046164,0.983293,0.067294
0.047348,-0.260231,0.993547,0.063355
0.096207,-0.147337,1.071843,0.072057
0.222782,0.102024,1.222036,0.063396
-0.116381,0.223741,0.848713,-0.038162
0.012070,0.171609,1.008662,0.254095
0.110619,0.028986,1.104171,0.142366
-0.080482,-0.260981,0.903370,-0.082001
-0.037632,-0.181664,0.944930,0.004274
-0.011191,0.430559,0.936227,0.110562
0.159315,0.223758,1.131084,-0.012175
-0.184731,0.104418,0.811824,0.021477
0.009082,0.268895,0.948644,-0.073484
-0.026029,0.082836,0.969953,-0.006722
0.154537,-0.113599,1.152321,-0.047061
-0.137869,0.150088,0.832772,-0.090447
0.011931,-0.066387,1.009878,-0.002344
-0.008590,-0.081335,0.986441,0.018233
0.062640,-0.434666,0.998635,-0.082654
0.155878,0.053400,1.152064,-0.033859
-0.039014,-0.275335,0.906306,0.050809
0.084891,0.239618,1.048407,-0.028032
-0.017077,-0.192914,0.968941,-0.026274
-0.060697,-0.029127,0.939287,-0.023584
0.076697,-0.446881,0.845214,0.192948
-0.114125,-0.110265,0.868095,0.077469
0.041625,-0.276471,0.996621,0.020147
-0.132254,0.076873,0.857286,-0.067388
0.076907,0.419619,0.996162,0.025957
-0.058240,0.259849,0.924426,0.074461
0.078054,-0.007775,1.072821,0.094394
-0.245943,0.234094,0.727290,0.004275
0.002323,0.119531,0.997833,0.024873
-0.151959,0.131489,0.847988,0.141802
-0.101839,0.141278,0.891125,0.022864
-0.075087,-0.421559,0.870327,-0.095687
-0.029227,0.186564,0.956848,0.020262
-0.047917,-0.249719,0.887772,0.103108
-0.039477,0.256448,0.908110,-0.063052
-0.129589,-0.027731,0.866971,-0.110600
0.052223,0.161364,1.036474,-0.015417
0.075710,0.269009,1.039887,0.003752
-0.043037,0.135803,0.954470,0.065228
0.104169,0.036704,1.096536,-0.086613
0.146815,-0.071103,1.139694,0.048024
0.038668,-0.539879,0.878209,0.003417
0.138187,-0.449858,1.061975,-0.066951
0.000525,-0.097066,0.999944,-0.131144
-0.015764,-0.116146,0.956601,0.117319
