time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.72,Terrain,spikes,1.01173,0.186774,-0.000193066,-0.107808,0.259836,48.8515,-5.32386e-07,1.818e-08,0.0182211
0.72,spikes,plane,0.805974,0.0229393,0.0913019,-0.000534004,-0.0150804,-0.361127,-1.6977e-06,-7.07712e-09,1.18523e-05
0.73,Terrain,spikes,1.04003,0.211419,-0.000203388,-0.56449,-0.263646,48.49,1.19216e-07,1.24898e-07,-0.0622888
0.73,spikes,plane,0.806016,0.0325845,0.0912934,0.0161217,-0.00229485,-0.338938,-2.50369e-19,7.69835e-18,-1.4183e-18
0.74,Terrain,spikes,0.982077,0.219305,-0.000216309,0.479626,0.00866864,51.2366,-6.47479e-07,5.07016e-07,0.0394309
0.74,spikes,plane,0.806133,0.393734,0.0912599,-0.0575881,0.0210849,-0.547326,5.9359e-18,-4.89166e-18,-5.16139e-18
0.75,Terrain,spikes,0.973922,0.194284,-0.000224044,0.314333,-0.00716422,49.001,3.65398e-07,1.83068e-07,-0.0792391
0.75,spikes,plane,0.806172,0.365655,0.0912545,0.0141735,0.00767982,-0.374096,-2.20123e-05,7.96616e-08,0.00024987
0.76,Terrain,spikes,1.0061,0.231616,-0.000232332,-0.228902,-0.267247,48.9725,1.84419e-08,-4.91576e-08,-0.0210923
0.76,spikes,plane,0.806201,0.276266,0.0912454,0.0828943,0.00680009,-0.460243,1.41632e-18,-2.90202e-18,-1.04804e-18
0.77,Terrain,spikes,1.02614,0.170429,-0.000241047,-0.159663,0.46371,49.5582,3.51344e-07,-5.89258e-09,-0.0283608
0.77,spikes,plane,0.8062,0.0327757,0.0912264,0.0160913,-0.0142077,-0.364715,-9.14695e-06,-2.79934e-08,0.000221695
0.78,Terrain,spikes,1.01188,0.209473,-0.000249237,-0.0509937,-0.0438907,49.571,1.94962e-07,1.83368e-07,-0.0258008
0.78,spikes,plane,0.806286,0.205037,0.0912181,-0.0151449,0.00440381,-0.422285,-5.75634e-20,2.00576e-17,6.06153e-19
0.79,Terrain,spikes,1.04003,0.21614,-0.00025814,-0.367859,-0.147547,52.9574,7.11153e-07,3.55973e-07,-0.150005
0.79,spikes,plane,0.9613,0.307071,0.0911727,0.136503,0.0514141,-3.89803,-1.15857e-07,6.77586e-09,0.000226939
0.8,Terrain,spikes,0.963372,0.239994,-0.000269912,0.550075,-0.474919,49.473,-8.24828e-07,-9.07816e-07,0.0961904
0.8,spikes,plane,1.1937,0.192174,0.0911133,-0.0193627,0.00815954,-0.384684,3.05573e-07,2.49962e-09,2.05319e-05
0.81,Terrain,spikes,1.03813,0.167558,-0.000278866,-0.26681,0.146106,49.3899,-2.1803e-07,2.18573e-07,-0.0344334
0.81,spikes,plane,1.19363,0.20015,0.0910944,-0.0015243,-0.00358398,-0.411096,-7.56828e-06,-1.02437e-07,5.7605e-05
0.82,Terrain,spikes,0.976429,0.185676,-0.0002848,0.356638,0.234629,49.3579,1.02085e-08,4.58962e-08,0.0184629
0.82,spikes,plane,1.19359,0.204131,0.0910837,-0.00821521,-0.00488088,-0.392179,-8.67145e-06,-1.40062e-07,0.000259461
0.83,Terrain,spikes,1.03295,0.199988,-0.000290033,-0.361375,0.0180014,50.1092,-1.04867e-07,-2.70946e-07,0.0643718
0.83,spikes,plane,1.19361,0.203855,0.0910754,0.0081001,-0.000661185,-0.421895,-2.00281e-06,-3.26827e-08,5.51695e-05
0.84,Terrain,spikes,0.979842,0.205692,-0.000294793,0.346882,-0.119759,48.6234,1.58949e-07,6.22206e-08,0.00109465
0.84,spikes,plane,1.19356,0.208412,0.0910695,-0.00331018,0.00182112,-0.38713,-6.76142e-06,-1.02238e-07,0.000121133
0.85,Terrain,spikes,1.04448,0.234925,-0.000299908,-0.660691,-0.192409,48.1851,-1.21499e-07,-2.88742e-07,0.0289183
0.85,spikes,plane,1.19352,0.212071,0.091062,0.0176836,0.00308174,-0.417973,-2.07208e-05,-3.04528e-07,0.000284488
0.86,Terrain,spikes,0.975836,0.21097,-0.000306022,0.279032,0.119924,50.6568,2.1398e-07,4.06917e-08,-0.0139672
0.86,spikes,plane,1.19355,0.210664,0.0910526,0.00246361,0.000385707,-0.404079,-1.11574e-05,-1.69461e-07,0.000198978
0.87,Terrain,spikes,1.02376,0.173478,-0.000311269,0.0791977,0.235327,50.1629,-1.34994e-07,-2.87268e-07,0.0301248
0.87,spikes,plane,1.19356,0.210632,0.0910446,0.0111725,-0.00628266,-0.410637,-7.68697e-06,-1.19581e-07,0.000144101
0.88,Terrain,spikes,1.01778,0.184564,-0.000316475,-0.312338,-0.101978,48.6087,-1.83187e-07,-1.96888e-07,0.0610017
0.88,spikes,plane,1.19359,0.20886,0.0910354,0.0177986,-1.34703e-05,-0.40504,-1.30626e-05,-1.99393e-07,0.000217743
0.89,Terrain,spikes,1.00004,0.224642,-0.000321177,0.0248331,-0.011208,49.6287,2.66083e-07,4.72996e-08,-0.0351531
0.89,spikes,plane,1.19359,0.209936,0.0910278,0.012004,0.00244476,-0.411993,-1.39857e-05,-2.12054e-07,0.000221834
0.9,Terrain,spikes,0.980577,0.186361,-0.000324979,0.407445,-0.0979545,49.8268,3.1576e-07,1.58484e-08,-0.0384129
0.9,spikes,plane,1.19359,0.209806,0.0910227,0.00673065,-0.000973065,-0.400945,-1.2364e-05,-1.88883e-07,0.000202821
0.91,Terrain,spikes,1.01171,0.191504,-0.000330132,-0.135828,0.407469,49.0111,-1.48607e-08,-1.18097e-07,0.00284487
0.91,spikes,plane,1.19363,0.207984,0.0910148,0.0206313,-0.0040636,-0.404166,-1.11658e-06,-1.58445e-08,6.05357e-06
0.92,Terrain,spikes,1.04003,0.192216,-0.000334916,-0.133321,0.193216,49.2516,3.8561e-07,3.00639e-07,-0.097205
0.92,spikes,plane,1.19365,0.207028,0.0910059,0.0220867,-0.000439822,-0.422403,-2.64797e-06,-2.44675e-08,-0.000163806
0.93,Terrain,spikes,0.960051,0.190463,-0.000343642,0.0933659,-0.267203,49.9153,2.7837e-07,3.25515e-07,-0.150531
0.93,spikes,plane,1.19359,0.21105,0.0909894,0.0138877,0.00184769,-0.396493,2.37421e-06,3.25469e-08,2.15209e-05
0.94,Terrain,spikes,1.02434,0.244064,-0.000351024,-0.255599,-0.593809,47.9399,-2.25015e-07,-2.09975e-07,-0.0208284
0.94,spikes,plane,1.19361,0.209954,0.0909738,0.0218402,0.0113129,-0.405731,2.19873e-06,3.36258e-08,-3.86569e-05
0.95,Terrain,spikes,0.985812,0.188631,-0.000355003,0.199023,0.159719,50.6986,2.85579e-07,3.25017e-07,-0.0176937
0.95,spikes,plane,1.19365,0.207442,0.0909669,0.0155059,-0.00290253,-0.411801,-5.07585e-06,-7.49261e-08,9.62741e-05
0.96,Terrain,spikes,0.994498,0.211087,-0.000358354,0.207024,0.170173,49.3086,1.22758e-06,3.39621e-07,-0.0789633
0.96,spikes,plane,1.19361,0.21067,0.0909604,0.0162109,-0.00203963,-0.399729,-2.20119e-05,-3.18617e-07,0.000250695
0.97,Terrain,spikes,1.01988,0.178505,-0.000362919,-0.197566,0.287481,49.6402,3.48899e-08,-2.59082e-08,0.0110545
0.97,spikes,plane,1.19364,0.208328,0.0909536,0.0230566,-0.005121,-0.415964,-1.06427e-05,-1.52833e-07,3.66838e-05
0.98,Terrain,spikes,1.01877,0.193615,-0.000366183,-0.0953368,0.0401596,49.1544,2.29616e-07,1.20953e-08,-0.0130836
0.98,spikes,plane,1.19366,0.20699,0.0909471,0.0205788,-0.000479931,-0.408718,-1.03332e-05,-1.44948e-07,0.000114478
0.99,Terrain,spikes,1.04004,0.210509,-0.000370025,-0.292849,-0.446329,48.5284,1.33767e-07,7.9439e-08,-0.0597729
0.99,spikes,plane,1.1936,0.21152,0.0909403,0.0233142,0.00671075,-0.417861,-1.50957e-05,-2.13421e-07,0.00010943
1,Terrain,spikes,0.970678,0.231004,-0.000377385,0.328834,0.12518,51.1109,4.30251e-07,9.02059e-07,-0.0223919
1,spikes,plane,1.19368,0.205611,0.0909293,0.0125995,-0.000341515,-0.403543,-9.77987e-06,-1.49026e-07,2.45066e-06
1.01,Terrain,spikes,0.983601,0.201141,-0.000381195,0.249061,-0.0533612,48.1941,2.25074e-07,-1.26686e-07,-0.0168395
1.01,spikes,plane,1.19366,0.2068,0.0909214,0.0108925,0.00122117,-0.387607,-6.97002e-06,-9.96308e-08,5.54148e-05
1.02,Terrain,spikes,1.02431,0.204602,-0.000385571,-0.335815,-0.126465,50.2218,-1.23201e-07,-2.17427e-07,-0.0286301
1.02,spikes,plane,1.19366,0.206501,0.0909145,0.0224187,0.00221219,-0.426986,-3.30456e-06,-3.65173e-08,6.7921e-05
1.03,Terrain,spikes,1.0258,0.188694,-0.000388348,-0.250997,0.227429,49.1822,-6.75195e-10,2.50728e-07,-0.00497995
1.03,spikes,plane,1.19363,0.208126,0.0909085,0.0212313,-0.00358873,-0.41325,-7.90122e-06,-1.03216e-07,6.97249e-05
1.04,Terrain,spikes,0.960056,0.198679,-0.000392386,0.46498,-0.242407,48.5291,1.34782e-07,2.14351e-07,-0.101627
1.04,spikes,plane,1.19363,0.206995,0.0909025,0.00235855,0.00450149,-0.379518,7.00238e-06,-1.98376e-09,-0.000257255
1.05,Terrain,spikes,1.0241,0.201687,-0.000397901,-0.275702,0.0251301,50.502,-3.15387e-07,1.14452e-07,-0.0262002
1.05,spikes,plane,1.19362,0.207308,0.0908919,0.0175021,-0.000125168,-0.428213,-6.25339e-06,-4.5112e-08,0.000124938
1.06,Terrain,spikes,1.03201,0.18672,-0.000400066,-0.237932,0.228945,49.0334,-2.732e-08,-8.1057e-07,0.109479
1.06,spikes,plane,1.19362,0.207045,0.0908852,0.0173912,-0.00278417,-0.413483,-4.37045e-08,7.97011e-10,8.8117e-06
1.07,Terrain,spikes,0.962,0.206428,-0.00040306,0.514612,-0.000804843,49.5475,8.9982e-07,-1.58191e-07,-0.0744915
1.07,spikes,plane,1.19362,0.206138,0.0908819,-0.00371038,-0.000629744,-0.386087,5.61494e-06,4.28721e-08,-7.05609e-05
1.08,Terrain,spikes,1.03245,0.239973,-0.000405986,-0.471168,-0.413842,48.2512,-2.87248e-07,-9.43438e-07,0.134597
1.08,spikes,plane,1.19359,0.206785,0.0908758,0.013875,0.0068678,-0.413332,-2.04991e-05,-2.22e-07,0.000160119
1.09,Terrain,spikes,1.03367,0.183344,-0.000426761,0.722842,0.371896,39.4801,-2.31843e-07,-4.51454e-07,0.027128
1.09,spikes,plane,1.18782,0.294115,0.0908541,-0.0291766,-0.00351591,-0.313516,8.64502e-06,4.99244e-07,0.000409027
1.1,Terrain,spikes,1.20004,0.399888,-0.00059481,-2.54787,-2.13347,42.201,4.62623e-19,9.36995e-15,4.73725e-16
1.1,spikes,plane,1.19362,0.206188,0.0905196,0.0665898,0.0361876,-0.417542,3.39922e-07,-1.37319e-10,-8.88549e-06
1.11,Terrain,spikes,0.940963,0.152844,-0.00083379,1.79356,2.13513,66.697,-5.74865e-05,5.00931e-05,0.351004
1.11,spikes,plane,1.19018,0.254718,0.0901109,-0.0410502,-0.0347564,-0.464979,2.42251e-17,2.55809e-17,-3.91972e-18
1.12,Terrain,spikes,1.00003,0.151202,-0.000862423,0.61208,0.531926,52.1878,-1.99283e-06,2.93016e-05,-0.233853
1.12,spikes,plane,1.19376,0.19367,0.0900375,-0.00884656,-0.010746,-0.429281,4.43575e-18,-4.16338e-17,1.50148e-18
1.13,Terrain,spikes,1.04003,0.215493,-0.000845539,-0.235888,-0.642999,49.187,3.35919e-07,7.61367e-08,-0.0504597
1.13,spikes,plane,1.19374,0.129952,0.0900273,0.0103249,0.00660181,-0.446168,-2.02612e-18,-3.20636e-17,2.74913e-18
1.14,Terrain,spikes,1.01436,0.183309,-0.000833365,-0.093353,0.397417,52.0945,1.07598e-07,-9.84248e-07,0.0754888
1.14,spikes,plane,0.845098,0.317463,0.0899943,-0.0810639,-0.0656821,-2.91301,9.20711e-19,3.16602e-16,-8.63118e-18
1.15,Terrain,spikes,0.993239,0.233812,-0.000821493,0.0353938,-0.363156,49.3827,7.6774e-08,-9.20288e-07,0.0756318
1.15,spikes,plane,0.806351,0.393703,0.0900132,-0.00230325,0.0139205,-0.368197,-9.5742e-18,1.25329e-17,1.75097e-18
1.16,Terrain,spikes,1.01308,0.219824,-0.000810225,-0.119843,0.0362088,50.1893,5.165e-07,-6.09676e-07,0.0179921
1.16,spikes,plane,0.80633,0.393705,0.0900381,-0.00197414,0.00604923,-0.358063,-1.23057e-19,-2.04337e-17,-1.459e-19
