time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
1.01,spikes,plane,0.999947,0.201348,0.0913038,1.85974e-05,0.000338796,-0.489773,1.22032e-06,-8.09354e-07,4.89369e-07
1.02,Terrain,spikes,1.0024,0.200357,-0.000178842,-0.0331459,-0.00545574,49.4693,1.94438e-06,5.6858e-07,1.30653e-05
1.02,spikes,plane,1.00266,0.200409,0.0913074,0.000769519,0.000124315,-0.489755,1.22676e-06,-7.13008e-07,-5.8899e-07
1.03,Terrain,spikes,0.997206,0.200612,-0.000177979,0.0376023,-0.00664142,49.462,-2.51672e-07,-1.04987e-06,-1.78541e-05
1.03,spikes,plane,0.997005,0.200671,0.0913107,-0.000872885,0.000151274,-0.489674,1.06319e-06,-8.08351e-07,-1.66377e-06
1.04,Terrain,spikes,1.00052,0.199125,-0.000176946,-0.00727679,0.0122985,49.5295,3.09712e-06,-1.52309e-07,5.5811e-06
1.04,spikes,plane,1.00057,0.199142,0.0913142,0.000167171,-0.000283528,-0.490334,1.18559e-06,-6.88022e-07,7.45587e-07
1.05,Terrain,spikes,1.00301,0.199228,-0.000175828,-0.0402372,0.0100298,49.4713,8.93493e-08,1.80117e-06,2.13886e-05
1.05,spikes,plane,1.00332,0.199194,0.0913179,0.000934705,-0.000234439,-0.489774,1.27613e-06,-6.1446e-07,3.81663e-07
1.06,Terrain,spikes,0.995458,0.200835,-0.000175083,0.0621779,-0.0121853,49.4706,3.02914e-06,-1.20922e-06,-2.5416e-05
1.06,spikes,plane,0.994967,0.200927,0.0913207,-0.00145072,0.000280547,-0.48977,1.06316e-06,-8.53087e-07,1.72081e-06
1.07,Terrain,spikes,1.00329,0.199684,-0.000174023,-0.045548,0.00464954,49.5266,-1.91558e-06,-7.2944e-07,1.61082e-05
1.07,spikes,plane,1.00373,0.199714,0.0913242,0.00106321,-0.00010819,-0.490315,1.22408e-06,-7.77964e-07,1.04455e-07
1.08,Terrain,spikes,0.998372,0.200062,-0.000173194,0.0225342,-0.000833517,49.483,1.2608e-06,2.28341e-07,-1.03772e-05
1.08,spikes,plane,0.998276,0.20014,0.0913271,-0.000522832,1.98818e-05,-0.489881,1.15513e-06,-9.22087e-07,2.55052e-07
1.09,Terrain,spikes,1.00176,0.197951,-0.00017234,-0.024398,0.0269986,49.4784,4.10295e-06,-1.25182e-06,2.04988e-05
1.09,spikes,plane,1.00197,0.197691,0.09133,0.000567036,-0.000634839,-0.489865,9.67653e-07,-3.67681e-07,-1.33718e-06
1.1,Terrain,spikes,0.99857,0.1997,-0.000171525,0.019677,0.00469659,49.5008,-4.26116e-07,-5.71401e-08,-5.43399e-06
1.1,spikes,plane,0.998485,0.199755,0.0913329,-0.000456649,-0.000107837,-0.490059,-2.46453e-07,1.85249e-07,-9.85729e-08
1.11,Terrain,spikes,0.999734,0.201842,-0.000170388,0.00387481,-0.0253221,49.484,9.95597e-07,-1.12915e-06,-1.12416e-05
1.11,spikes,plane,0.999752,0.201996,0.0913363,-8.98468e-05,0.000583954,-0.489909,-1.74877e-07,1.02482e-07,1.45338e-07
1.12,Terrain,spikes,0.998194,0.199844,-0.000169874,0.0251261,0.00229132,49.4595,1.81088e-06,-8.05725e-07,-9.61833e-06
1.12,spikes,plane,0.997961,0.199952,0.0913385,-0.000589634,-4.97182e-05,-0.489661,-2.01923e-07,8.18146e-08,-1.41398e-07
1.13,Terrain,spikes,1.00315,0.201365,-0.000168965,-0.0448293,-0.0167983,49.5115,-9.72096e-08,-3.79553e-08,1.30794e-05
1.13,spikes,plane,1.00357,0.201527,0.0913415,0.00104656,0.000389147,-0.490176,-1.88043e-07,3.69311e-07,-9.41866e-07
1.14,Terrain,spikes,1.00158,0.201319,-0.000168304,-0.0215047,-0.0173929,49.4517,-1.51428e-06,1.17784e-06,4.5967e-06
1.14,spikes,plane,1.00173,0.201653,0.0913439,0.000497718,0.000412454,-0.48958,7.53551e-09,-2.0861e-09,1.09723e-06
1.15,Terrain,spikes,0.99919,0.19994,-0.000167972,0.0115181,0.00247891,49.4974,-8.33313e-07,-1.42054e-08,-4.04109e-06
1.15,spikes,plane,0.999147,0.199908,0.0913455,-0.000268002,-6.21143e-05,-0.490048,1.23718e-07,-5.77276e-08,-2.16623e-07
1.16,Terrain,spikes,0.998083,0.198004,-0.000167618,0.0274148,0.026307,49.5269,3.84607e-06,-3.49525e-07,-3.21519e-06
1.16,spikes,plane,0.997984,0.197985,0.0913472,-0.000634375,-0.000605038,-0.490283,-6.04659e-08,7.0797e-07,7.93129e-07
1.17,Terrain,spikes,1.00259,0.200505,-0.000166672,-0.0361877,-0.00593304,49.474,-1.87479e-06,1.93052e-06,1.29617e-05
