trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target rel x,target rel y
7,-2.4193441,4.0322402,-2.3437452,7.0312358,-2.3981897,6.0332789,-2.0322605,3.9032296,-1.6129023,2.0161279,-16.6136559,63.9347598
7,-3.0322591,7.0967677,-2.4193441,4.0322402,-2.3437452,7.0312358,-2.3981897,6.0332789,-2.0322605,3.9032296,-13.5813968,56.8379921
7,-2.8064619,6.3871223,-3.0322591,7.0967677,-2.4193441,4.0322402,-2.3437452,7.0312358,-2.3981897,6.0332789,-10.7749349,50.4508698
7,-2.4193575,4.1612924,-2.8064619,6.3871223,-3.0322591,7.0967677,-2.4193441,4.0322402,-2.3437452,7.0312358,-8.3555774,46.2895774
7,-2.3850728,2.3850727,-2.4193575,4.1612924,-2.8064619,6.3871223,-3.0322591,7.0967677,-2.4193441,4.0322402,-5.9705046,43.9045047
7,-1.5624968,1.5624969,-2.3850728,2.3850727,-2.4193575,4.1612924,-2.8064619,6.3871223,-3.0322591,7.0967677,-4.4080078,42.3420078
7,-1.6008094,0.3750078,-1.5624968,1.5624969,-2.3850728,2.3850727,-2.4193575,4.1612924,-2.8064619,6.3871223,-2.8071984,41.967
7,0.1928016,0.967,-1.6008094,0.3750078,-1.5624968,1.5624969,-2.3850728,2.3850727,-2.4193575,4.1612924,-3,41
7,0,0,0.1928016,0.967,-1.6008094,0.3750078,-1.5624968,1.5624969,-2.3850728,2.3850727,-3,41
7,0,0,0,0,0.1928016,0.967,-1.6008094,0.3750078,-1.5624968,1.5624969,-3,41
7,0,0,0,0,0,0,0.1928016,0.967,-1.6008094,0.3750078,-3,41
7,0,0,0,0,0,0,0,0,0.1928016,0.967,-3,41
8,0,0,0,0,0,0,0,0,0,0,414.1229999,173.1229999
8,1.8617001,1.0638286,0,0,0,0,0,0,0,0,412.2612998,172.0591713
8,1.8617001,1.0638287,1.8617001,1.0638286,0,0,0,0,0,0,410.3995997,170.9953426
8,1.8617002,1.0638286,1.8617001,1.0638287,1.8617001,1.0638286,0,0,0,0,408.5378995,169.931514
8,4.318086,1.7762429,1.8617002,1.0638286,1.8617001,1.0638287,1.8617001,1.0638286,0,0,404.2198135,168.1552711
